paper_id,publication_year,publication_month
paper_7625.pdf,2023,7
paper_7667.pdf,2015,8
paper_7668.pdf,2021,9
paper_7707.pdf,2021,9
paper_7711.pdf,2020,7
paper_7774.pdf,2023,12
paper_7775.pdf,2022,5
paper_7797.pdf,2023,8
paper_7822.pdf,2025,1
paper_7891.pdf,2024,4
paper_7936.pdf,2023,10
paper_7951.pdf,2024,10
paper_7958.pdf,2018,10
paper_8041.pdf,2024,7
paper_8046.pdf,2024,9
paper_8065.pdf,2024,10
paper_8065_3.pdf,2019,10
paper_8108.pdf,2024,3
paper_8148_2.pdf,2020,2
paper_8167.pdf,2024,9
paper_8180.pdf,2024,2
paper_8326.pdf,2020,10
paper_8328.pdf,2023,7
paper_8347.pdf,2025,2
paper_8357.pdf,2025,5
paper_8413.pdf,2024,6
paper_8418.pdf,2020,9
paper_8430_2.pdf,2019,8
paper_8475.pdf,2024,6
paper_8491.pdf,2023,12
paper_8510.pdf,2023,7
paper_8510_2.pdf,2018,5
paper_8528.pdf,2024,1
paper_8586.pdf,2025,2
paper_8601.pdf,2024,10
paper_8624.pdf,2015,11
paper_8635.pdf,2025,3
paper_8635_2.pdf,2025,3
paper_8730.pdf,2019,9
paper_8740.pdf,2022,7
paper_8757.pdf,2025,2
paper_8761.pdf,2024,7
paper_8775.pdf,2023,7
paper_8785.pdf,2014,2
paper_8786.pdf,2023,4
paper_8823.pdf,2025,6
paper_8835.pdf,2023,10
paper_8836.pdf,2015,12
paper_8849.pdf,2017,6
paper_8862.pdf,2019,9
paper_8922.pdf,2025,1
paper_8925.pdf,2021,12
paper_8941.pdf,2025,3
paper_8979.pdf,2019,1
paper_8996.pdf,2024,4
paper_8998.pdf,2025,6
paper_9005.pdf,2023,10
paper_9013.pdf,2024,1
paper_9037.pdf,2022,8
paper_9038.pdf,2022,1
paper_90502.pdf,2021,1
paper_9187.pdf,2021,12
paper_9210_2.pdf,2019,12
paper_9231.pdf,2024,10
paper_9292.pdf,2024,11
paper_9300.pdf,2020,1
paper_9303.pdf,2024,11
paper_9340.pdf,2025,6
paper_9358.pdf,2024,6
paper_9360.pdf,2021,11
paper_9361.pdf,2024,11
paper_9375.pdf,2022,9
paper_9414.pdf,2018,7
paper_9455.pdf,2023,11
paper_9461.pdf,2024,10
paper_9463.pdf,2024,1
paper_9474.pdf,2025,1
paper_9478.pdf,2023,1
paper_9503.pdf,2020,1
paper_9503_2.pdf,2020,1
paper_9542.pdf,2024,11
paper_9545.pdf,2025,2
paper_9559.pdf,2023,12
paper_9566.pdf,2020,4
paper_9639.pdf,2025,4
paper_9737.pdf,2024,10
paper_9810.pdf,2025,5
paper_9890.pdf,2024,9
paper_9928.pdf,2022,9
paper_9977.pdf,2023,8
paper_9987.pdf,2024,5
paper_9999.pdf,2025,1
